Paper,Organism,Raw data avilable,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2,Title,Pmatrix,Scaling,Paper Link,full reference
Beg2003,Gryllus.pennsylvanicus,NA,1,0,NA,NA,Begin.Roff.2003,I,A,The constancy of the G matrix through sepcies divergence and the effects of quantitative genetic constraints on phenotypic evolution: A case study in crickets,,,http://www.jstor.org/stable/3448810,"Bégin, M. & Roff, D.A. 2003, ""THE CONSTANCY OF THE G MATRIX THROUGH SPECIES DIVERGENCE AND THE EFFECTS OF QUANTITATIVE GENETIC CONSTRAINTS ON PHENOTYPIC EVOLUTION: A CASE STUDY IN CRICKETS"", Evolution, vol. 57, no. 5, pp. 1107-1120."
Beg2004,Gryllus.firmus,NA,1,0,NA,NA,Begin.et.al.2004,I,A,"The effect of temperature and wing morphology on quantitative genetic variation in the cricket Gryllus firmus, with an appendix examining the statistical properties of the Jackknife-MANOVA method of matrix comparison",,,10.1111/j.1420-9101.2004.00772.x,"Bégin, M., Roff, D.A. & Debat, V. 2004, ""The effect of temperature and wing morphology on quantitative genetic variation in the cricket Gryllus firmus, with an appendix examining the statistical properties of the Jackknife-MANOVA method of matrix comparison"", Journal of Evolutionary Biology, vol. 17, no. 6, pp. 1255-1267."
BeRo200,Teleogryllus.oceanicus,NA,1,0,NA,NA,Begin.Roff.2004,I,A,From Micro- To Macroevolution Through Quantitative Genetic Variation: Positive Evidence From Field Crickets,,,10.1043/0014-3820(2004)058<2287:FMTMTQ>2.0.CO;,"Begin, M. & Roff, D. 2004, ""From Micro- To Macroevolution Through Quantitative Genetic Variation: Positive Evidence From Field Crickets"", Evolution, vol. 58, no. 10, pp. 2287-2304."
Bir2005,Taeniopygia.guttata,NA,0,1,NA,NA,Birkhead.et.al.2005.Nat,V,A,Genetic effects on sperm design in the zebra finch,,,10.1038/nature03374,"Birkhead, T.R., Pellatt, E.J., Brekke, P., Yeates, R. & Castillo-Juarez, H. 2005, ""Genetic effects on sperm design in the zebra finch"", Nature, vol. 434, no. 7031, pp. 383-387."
Blo2003,Drosophila.serrata,NA,1,0,NA,NA,Blows.Higgie.2003,I,A,Genetic Constraints on the Evolution of Mate Recognition under Natural Selection,,,10.1086/345783,"Blows, M.W. & Higgie, M. 2003, ""Genetic Constraints on the Evolution of Mate Recognition under Natural Selection"", The American Naturalist, vol. 161, no. 2, pp. 240-253."
Blo2004,Drosophila.serrata,NA,0,1,NA,NA,Blows.et.al.2004.Am.Nat,I,A,Orientation of the Genetic Variance-Covariance Matrix and the Fitness Surface for Multiple Male Sexually Selected Traits,,,10.1086/381941,"Blows, M.W., Chenoweth, S.F. & Hine, E. 2004, ""Orientation of the Genetic Variance?Covariance Matrix and the Fitness Surface for Multiple Male Sexually Selected Traits"", The American Naturalist, vol. 163, no. 3, pp. 329-340."
Bon2005,Prochyliza.xanthostoma,NA,0,1,NA,NA,Bonduriansky.Rowe.2005.Evo,I,A,"SEXUAL SELECTION, GENETIC ARCHITECTURE, AND THE CONDITION DEPENDENCE OF BODY SHAPE IN THE SEXUALLY DIMORPHIC FLY PROCHYLIZA XANTHOSTOMA (PIOPHILIDAE)",,,"SEXUAL SELECTION, GENETIC ARCHITECTURE, AND THE CONDITION DEPENDENCE OF BODY SHAPE IN THE SEXUALLY DIMORPHIC FLY PROCHYLIZA XANTHOSTOMA (PIOPHILIDAE)","Bonduriansky, R. & Rowe, L. 2005, ""SEXUAL SELECTION, GENETIC ARCHITECTURE, AND THE CONDITION DEPENDENCE OF BODY SHAPE IN THE SEXUALLY DIMORPHIC FLY PROCHYLIZA XANTHOSTOMA (PIOPHILIDAE)"", Evolution, vol. 59, no. 1, pp. 138-151."
Bra2004,Achroia.grisella,NA,1,0,NA,NA,Brandt.Greenfield.2004,I,A,Condition-dependent traits and the capture of genetic variance in male advertisement song,,,10.1111/j.1420-9101.2004.00716.x,"Brandt, L.S.E. & Greenfield, M.D. 2004, ""Condition-dependent traits and the capture of genetic variance in male advertisement song"", Journal of Evolutionary Biology, vol. 17, no. 4, pp. 821-828."
Bro2001,Poecilia.reticulata,NA,1,0,NA,NA,Brooks.Endler.2001.Evo,V,A,FEMALE GUPPIES AGREE TO DIFFER: PHENOTYPIC AND GENETIC VARIATION IN MATE-CHOICE BEHAVIOR AND THE CONSEQUENCES FOR SEXUAL SELECTION,,,10.1554/0014-3820(2001)055[1002:DAISSA]2.0,"Brooks, R. & Endler, J.A. 2001, ""DIRECT AND INDIRECT SEXUAL SELECTION AND QUANTITATIVE GENETICS OF MALE TRAITS IN GUPPIES (POECILIA RETICULATA)"", Evolution, vol. 55, no. 5, pp. 1002-1015."
Can2004,Rana.temporaria,NA,0,1,NA,NA,Cano.et.al.2004,V,A,,,,,
Car1994,Choristoneura.rosaceana,NA,0,1,NA,NA,Carriere.Roitberg.1994.EvoEntoAppl,I,A,,,,,
Car2004,Lobelia.siphilitica,NA,1,0,NA,NA,Caruso.2004.Evo,P,P,The Quantitative Genetics Of Floral Trait Variation In Lobelia: Potential Constraints On Adaptive Evolution,,,http://dx.doi.org.ezproxy.library.uq.edu.au/10.1043/0014-3820(2004)058(0732:TQGOFT)2.0.CO;2,"Caruso, C. 2004, ""The Quantitative Genetics Of Floral Trait Variation In Lobelia: Potential Constraints On Adaptive Evolution"", Evolution, vol. 58, no. 4, pp. 732-740."
Car2005,Lobelia.siphilitica,NA,0,1,NA,NA,Caruso.et.al.2005.Evo,P,P,,,,,
Col1999,Achroia.grisella,NA,0,1,NA,NA,Collins.et.al.1999.Her,I,A,,,,,
Col2005,Ovis.canadensis,NA,1,0,NA,NA,Coltman.et.al.2005.Evo,V,A,SELECTION AND GENETIC (CO)VARIANCE IN BIGHORN SHEEP,,,10.1554/04-134,"Coltman, D.W., O'Donoghue, P., Hogg, J.T. & Festa-Bianchet, M. 2005, ""SELECTION AND GENETIC (CO)VARIANCE IN BIGHORN SHEEP"", Evolution, vol. 59, no. 6, pp. 1372-1382."
Con1992,Tribolium.castaneum,NA,1,0,NA,NA,Conner.Via.1992.Her,I,A,Natural selection on body size in Tribolium: possible genetic constraints on adaptive evolution,,,,"Conner, J. & Via, S. 1992, ""Natural selection of body size in Tribolium : Possible genetic constraints on adaptive evolution"", Heredity, vol. 69, no. 1, pp. 73-84."
Con1997,Raphanus.raphanistrum,NA,0,1,NA,NA,Conner.1997.IJPS,P,P,,,,,
Con2003,Raphanus.raphanistrum,NA,1,0,NA,NA,Conner.et.al.2003,P,P,EXPRESSION OF ADDITIVE GENETIC VARIANCES AND COVARIANCES FOR WILD RADISH FLORAL TRAITS: COMPARISON BETWEEN FIELD AND GREENHOUSE ENVIRONMENTS,,,10.1554/0014-3820(2003)057[0487:EOAGVA]2.,"Conner, J.K., Franks, R. & Stewart, C. 2003, ""EXPRESSION OF ADDITIVE GENETIC VARIANCES AND COVARIANCES FOR WILD RADISH FLORAL TRAITS: COMPARISON BETWEEN FIELD AND GREENHOUSE ENVIRONMENTS"", Evolution, vol. 57, no. 3, pp. 487-495."
Cot2004,Spodoptera.littoralis,NA,0,1,NA,NA,Cotter.et.al.2004.JEB,I,A,,,,,
Cow1990,Drosophila.melanogaster,NA,0,1,NA,NA,Cowley.Atchley.1990.AmNat,I,A,,,,,
Del1995,Spergularia.marina,NA,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P,,,,,
