Pmatrix,Organism,Raw.data.avilable.on.DRYAD,Gmatrix,cormatrix,directory,data.link,Reference,Taxon1,Taxon2,Title,Pmatrix.1,Means,Paper.Link,full.reference,Email,GmatId,trait.type
Col2005.1,Ovis.canadensis,0,1,1,NA,NA,Coltman.et.al.2005.Evo,V,A,SELECTION AND GENETIC (CO)VARIANCE IN BIGHORN SHEEP,1,0,10.1554/04-134,"Coltman, D.W., O'Donoghue, P., Hogg, J.T. & Festa-Bianchet, M. 2005, ""SELECTION AND GENETIC (CO)VARIANCE IN BIGHORN SHEEP"", Evolution, vol. 59, no. 6, pp. 1372-1382.",NA,Col2005.166,L
Con1992.1,Tribolium.castaneum,0,1,1,NA,NA,Conner.Via.1992.Her,I,A,Natural selection on body size in Tribolium: possible genetic constraints on adaptive evolution,1,1,10.1038/hdy.1992.96,"Conner, J. & Via, S. 1992, ""Natural selection of body size in Tribolium : Possible genetic constraints on adaptive evolution"", Heredity, vol. 69, no. 1, pp. 73-84.",NA,Con1992.170,M
Con1992.2,Tribolium.castaneum,0,1,1,NA,NA,Conner.Via.1992.Her,I,A,Natural selection on body size in Tribolium: possible genetic constraints on adaptive evolution,1,1,10.1038/hdy.1992.96,"Conner, J. & Via, S. 1992, ""Natural selection of body size in Tribolium : Possible genetic constraints on adaptive evolution"", Heredity, vol. 69, no. 1, pp. 73-84.",NA,Con1992.170,M
Cot2004.1,Spodoptera.littoralis,0,0,1,NA,NA,Cotter.et.al.2004.JEB,I,A,Costs of resistance: genetic correlations and potential trade-offs in an insect immune system,1,1,10.1046/j.1420-9101.2003.00655.x,"Cotter, S.C., Kruuk, L.E.B. & Wilson, K. 2004, ""Costs of resistance: genetic correlations and potential trade-offs in an insect immune system"", Journal of Evolutionary Biology, vol. 17, no. 2, pp. 421-429.",NA,Cot2004.179,L
Cow1990.1,Drosophila.melanogaster,0,0,1,NA,NA,Cowley.Atchley.1990.AmNat,I,A,Development and Quantitative Genetics of Correlation Structure Among Body Parts of Drosophila melanogaster,1,0,10.1086/285041,"Cowley, D.E. & Atchley, W.R. 1990, ""Development and Quantitative Genetics of Correlation Structure Among Body Parts of Drosophila melanogaster"", The American Naturalist, vol. 135, no. 2, pp. 242-268.",NA,Cow1990.180,M
Cow1990.2,Drosophila.melanogaster,0,0,1,NA,NA,Cowley.Atchley.1990.AmNat,I,A,Development and Quantitative Genetics of Correlation Structure Among Body Parts of Drosophila melanogaster,1,0,10.1086/285041,"Cowley, D.E. & Atchley, W.R. 1990, ""Development and Quantitative Genetics of Correlation Structure Among Body Parts of Drosophila melanogaster"", The American Naturalist, vol. 135, no. 2, pp. 242-268.",NA,Cow1990.181,M
Del1995.1,Spergularia.marina,0,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P,The Structure of Phenotypic Variation in Gender and Floral Traits within and Among Populations of Spergularia marina (Caryophyllaceae),1,1,http://www.jstor.org/stable/2445620,"Delesalle, V.A. & Mazer, S.J. 1995, ""The structure of phenotypic variation in gender and floral traits within and among populations of Spergularia marina (Caryophyllaceae)"", American Journal of Botany, vol. 82, no. 6, pp. 798.",NA,Del1995.186,S
Del1995.2,Spergularia.marina,0,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P,The Structure of Phenotypic Variation in Gender and Floral Traits within and Among Populations of Spergularia marina (Caryophyllaceae),1,1,http://www.jstor.org/stable/2445620,"Delesalle, V.A. & Mazer, S.J. 1995, ""The structure of phenotypic variation in gender and floral traits within and among populations of Spergularia marina (Caryophyllaceae)"", American Journal of Botany, vol. 82, no. 6, pp. 798.",NA,Del1995.187,S
Del1995.3,Spergularia.marina,0,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P,The Structure of Phenotypic Variation in Gender and Floral Traits within and Among Populations of Spergularia marina (Caryophyllaceae),1,1,http://www.jstor.org/stable/2445620,"Delesalle, V.A. & Mazer, S.J. 1995, ""The structure of phenotypic variation in gender and floral traits within and among populations of Spergularia marina (Caryophyllaceae)"", American Journal of Botany, vol. 82, no. 6, pp. 798.",NA,Del1995.188,S
Del1995.4,Spergularia.marina,0,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P,The Structure of Phenotypic Variation in Gender and Floral Traits within and Among Populations of Spergularia marina (Caryophyllaceae),1,1,http://www.jstor.org/stable/2445620,"Delesalle, V.A. & Mazer, S.J. 1995, ""The structure of phenotypic variation in gender and floral traits within and among populations of Spergularia marina (Caryophyllaceae)"", American Journal of Botany, vol. 82, no. 6, pp. 798.",NA,Del1995.189,S
Del2004.1,Silene.latifolia,0,1,1,NA,NA,Delph.et.al.2004,P,P,Investigating the independent evolution of the size of floral organs via G-matrix estimation and artificial selection,1,1,10.1111/j.1525-142X.2004.04052.x,"Delph, L.F., Frey, F.M., Steven, J.C. & Gehring, J.L. 2004, ""Investigating the independent evolution of the size of floral organs via G-matrix estimation and artificial selection"", Evolution & development, vol. 6, no. 6, pp. 438-448.",NA,Del2004.183,S
Del2004.2,Silene.latifolia,0,1,1,NA,NA,Delph.et.al.2004,P,P,Investigating the independent evolution of the size of floral organs via G-matrix estimation and artificial selection,1,1,10.1111/j.1525-142X.2004.04052.x,"Delph, L.F., Frey, F.M., Steven, J.C. & Gehring, J.L. 2004, ""Investigating the independent evolution of the size of floral organs via G-matrix estimation and artificial selection"", Evolution & development, vol. 6, no. 6, pp. 438-448.",NA,Del2004.184,S
Gem2001.1,Trichoplusia.ni,0,1,1,NA,NA,Gemeno.et.al.2001.BG,I,A,"Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni",1,1,10.1023/A:1010249310366,"Gemeno, C., Moore, A.J., Preziosi, R.F. & Haynes, K.F. 2001, ""Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni"", Behavior genetics, vol. 31, no. 2, pp. 157-165.",NA,Gem2001.472,S
