"Paper","Organism","Raw data avilable","Gmatrix","Pmatrix","cormatrix","directory","data link","Reference","Taxon1","Taxon2","NA","NA","NA","NA"
"Mer1996.281.csv","Ficedula.albicollis",NA,1,NA,0,NA,NA,"Merila.Gustafsson.1996.Her","V","A",NA,NA,NA,NA
"Mit1993.291.csv","Penstemon.centranthifolius",NA,1,NA,0,NA,NA,"Mitchell.Shaw.1993.Her","P","P",NA,NA,NA,NA
"Moo2004.297.csv","Nauphoeta.cinerea",NA,1,NA,0,NA,NA,"Moore.et.al.2004.Evo","I","A",NA,NA,NA,NA
"Nes2005.299.csv","Phyllotis.darwini",NA,1,NA,0,NA,NA,"Nespolo.et.al.2005","V","A",NA,NA,NA,NA
"Phi1998.333.csv","Rana.sylvatica",NA,1,NA,0,NA,NA,"Phillips.1998.JEB","V","A",NA,NA,NA,NA
"Pod1997.318.csv","Clarkia.dudleyana",NA,1,NA,0,NA,NA,"Podolsky.et.al.1997.Evo","P","P",NA,NA,NA,NA
"Pod1997.319.csv","Clarkia.dudleyana",NA,1,NA,0,NA,NA,"Podolsky.et.al.1997.Evo","P","P",NA,NA,NA,NA
"Rob2009.372.csv","Ovis.aries",NA,1,NA,0,NA,NA,"Robinson.et.al.2009","V","A",NA,NA,NA,NA
"Rob2009.373.csv","Ovis.aries",NA,1,NA,0,NA,NA,"Robinson.et.al.2009","V","A",NA,NA,NA,NA
"Sgr2004.396.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Sgro.Blows.2004","I","A",NA,NA,NA,NA
"Sgr2004.397.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Sgro.Blows.2004","I","A",NA,NA,NA,NA
"Sgr2004.398.csv","Drosophila.serrata",NA,1,NA,0,NA,NA,"Sgro.Blows.2004","I","A",NA,NA,NA,NA
"She2009.418.csv","Avena.barbata",NA,1,NA,0,NA,NA,"Sherrard.et.al.2009","P","P",NA,NA,NA,NA
"She2009.419.csv","Avena.barbata",NA,1,NA,0,NA,NA,"Sherrard.et.al.2009","P","P",NA,NA,NA,NA
"Sim2004.399.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Simmons.2004.AB","I","A",NA,NA,NA,NA
"Sim2004.400.csv","Teleogryllus.oceanicus",NA,1,NA,0,NA,NA,"Simmons.2004.AB","I","A",NA,NA,NA,NA
"Wat2001.434.csv","Hyla.regilla",NA,1,NA,0,NA,NA,"Watkins.2001.Evo","V","A",NA,NA,NA,NA
"Wil2005.446.csv","Ovis.canadiensis",NA,1,NA,0,NA,NA,"Wilson.et.al.2005.AmNat","V","A",NA,NA,NA,NA
"And1996.5.csv","Saxifaga.granulata",NA,0,NA,1,NA,NA,"Andersson.1996.Her","P","P",NA,NA,NA,NA
"And1996.6.csv","Saxifaga.granulata",NA,0,NA,1,NA,NA,"Andersson.1996.Her","P","P",NA,NA,NA,NA
"And1997.1.csv","Nigella.degenii",NA,0,NA,1,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"And1997.2.csv","Nigella.degenii",NA,0,NA,1,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"And1997.3.csv","Nigella.degenii",NA,0,NA,1,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"And1997.4.csv","Nigella.degenii",NA,0,NA,1,NA,NA,"Andersson.1997.BJLS","P","P",NA,NA,NA,NA
"Arn1999.47.csv","Thamnophis.elegans",NA,0,NA,1,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Arn1999.48.csv","Thamnophis.elegans",NA,0,NA,1,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Arn1999.49.csv","Thamnophis.elegans",NA,0,NA,1,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Arn1999.50.csv","Thamnophis.elegans",NA,0,NA,1,NA,NA,"Arnold.Phillips.1999.Evo","V","A",NA,NA,NA,NA
"Ash1999.7.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.1999.Her","P","P",NA,NA,NA,NA
"Ash1999.8.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.1999.Her","P","P",NA,NA,NA,NA
"Ash2003.10.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.2003.Evo","P","P",NA,NA,NA,NA
"Ash2003.11.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.2003.Evo","P","P",NA,NA,NA,NA
"Ash2003.12.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.2003.Evo","P","P",NA,NA,NA,NA
"Ash2003.13.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.2003.Evo","P","P",NA,NA,NA,NA
"Ash2003.14.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.2003.Evo","P","P",NA,NA,NA,NA
"Ash2003.9.csv","Fragaria.virginiana",NA,0,NA,1,NA,NA,"Ashman.2003.Evo","P","P",NA,NA,NA,NA
"Beg2001.70.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2001","I","A",NA,NA,NA,NA
"Beg2001.71.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2001","I","A",NA,NA,NA,NA
"Beg2001.72.csv","Gryllus.pennsylvanicus",NA,0,NA,1,NA,NA,"Begin.Roff.2001","I","A",NA,NA,NA,NA
