Paper,Organism,Raw data avilable,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2
Hou2005,Onthophagus.taurus,NA,0,1,NA,NA,House.Simmons.2005.JEB,I,A
Hug1995,Drosophila.melanogaster,NA,0,1,NA,NA,Hughes.et.al.1995.Evo,I,A
Hug2005,Poecilia.reticulata,NA,0,1,NA,NA,Hughes.et.al.2005.JEB,V,A
Hun2007,Teleogryllus.commodus,NA,0,1,NA,NA,Hunt.et.al.2007.Gen,I,A
Imb2001,Crepis.sancta,NA,0,1,NA,NA,Imbert.2001.Her,P,P
Jen2003,Passer.domesticus,NA,0,1,NA,NA,Jensen.et.al.2003,V,A
Kac2008,Innicotiana.alata,NA,0,1,NA,NA,Kaczorowski.et.al.2008,P,P
Kau2002,Oncorhynchus.mykiss,NA,0,1,NA,NA,Kause.et.al.2002.Aqua,V,A
Kau2003,Oncorhynchus.mykiss,NA,0,1,NA,NA,Kause.et.al.2003.Aqua,V,A
Kim2010,Taeniopygia.guttata,NA,0,1,NA,NA,Kim.et.al.2010,V,A
Kin2004,Pieris.rapae,NA,0,1,NA,NA,Kingsolver.et.al.2004,I,A
Kin2006,Pieris.rapae,NA,0,1,NA,NA,Kingsolver.et.al.2006.EvoEcoRes,P,P
Kra2006,Rana.lessonae,NA,0,1,NA,NA,Kraft.et.al.2006,V,A
Kum2007,lowland.rice,NA,0,1,NA,NA,Kumar.et.al.2007,P,P
Len2003,Phlox.drummondii,NA,0,1,NA,NA,Lendvai.Levin.2003.Her,P,P
McD2005,Ceratodon.purpureus,NA,0,1,NA,NA,McDaniel.2005.Evo,P,P
McG2005,Melanotaenia.duboulayi,NA,0,1,NA,NA,McGuigan.et.al.2005,V,A
McG2006,Melanotaenia.eachamensis,NA,0,1,NA,NA,McGuigan.2006.MolEco,V,A
McG2007,Drosophila.bunnanda,NA,0,1,NA,NA,McGuigan.Blows.2007.Evo,I,A
McG2008,Drosophila.bunnanda,NA,0,1,NA,NA,McGuigan.et.al.2008.AmNat,I,A
Mer1993,Ficedula.albicollis,NA,0,1,NA,NA,Merila.Gustafsson.1993.Her,V,A
Mer1994,Ficedula.albicollis,NA,0,1,NA,NA,Merila.et.al.1994.BJLS,V,A
Mer1996,Ficedula.albicollis,NA,0,1,NA,NA,Merila.Gustafsson.1996.Her,V,A
Mil2000,Ovis.aries,NA,0,1,NA,NA,Milner.et.al.2000.JEB,V,A
Mit1993,Penstemon.centranthifolius,NA,0,1,NA,NA,Mitchell.Shaw.1993.Her,P,P
Mit1998,Penstemon.centranthifolius,NA,0,1,NA,NA,Mitchell.et.al.1998.IJPS,P,P
Moo2004,Nauphoeta.cinerea,NA,0,1,NA,NA,Moore.et.al.2004.Evo,I,A
Muh1996,Scathophaga.stercoraria,NA,0,1,NA,NA,Muhlhauser.et.al.1996.AB,I,A
Nes2005,Phyllotis.darwini,NA,0,1,NA,NA,Nespolo.et.al.2005,V,A
Nor1997,Drosophila.buzzatii,NA,0,1,NA,NA,Norry.et.al.1997.Genetica,I,A
Nor2000,Drosophila.buzzatii,NA,0,1,NA,NA,Norry.et.al.2000.Her,I,A
Par2005,Gallus.gallus,NA,0,1,NA,NA,Parker.Garant.2005.JEB,V,A
Pet2005,Drosophila.serrata,NA,0,1,NA,NA,Petfield.et.al.2005.PNAS,I,A
Phi1998,Rana.sylvatica,NA,0,1,NA,NA,Phillips.1998.JEB,V,A
Phi2001,Drosophila.melanogaster,NA,0,1,NA,NA,Phillips.et.al.2001,I,A
Pod1997,Clarkia.dudleyana,NA,0,1,NA,NA,Podolsky.et.al.1997.Evo,P,P
Pol2004,Drosophila.bipectinata,NA,0,1,NA,NA,Polak.et.al.2004.Evo,I,A
Pre1998,Aquarius.remigis,NA,0,1,NA,NA,Preziosi.Roff.1998.Her,I,A
Rau2002,Nicrophorus.pustulatus,NA,0,1,NA,NA,Rauter.Moore.2002.Evo,I,A
Rea2000,Ovis.canadiensis,NA,0,1,NA,NA,Reale.Festa-Bianchet.2000.Her,V,A
Rea2002,Gryllus.firmus,NA,0,1,NA,NA,Reale.Roff.2002.AB,I,A
Rel2005,Rana.sylvatica,NA,0,1,NA,NA,Relyea.2005.JEB,V,A
Rob2009,Ovis.aries,NA,0,1,NA,NA,Robinson.et.al.2009,V,A
Rod2003,Achroia.grisella,NA,0,1,NA,NA,Rodriguez.Greenfield.2003.Evo,I,A
Rof1999,Allonemobius.socius,NA,0,1,NA,NA,Roff.Mousseau.1999,I,A
Rof2004,Hirundo.rustica,NA,0,1,NA,NA,Roff.et.al.2004,V,A
Ron2000,Allium.vineale,NA,0,1,NA,NA,Ronshein.Bever.2000.AJB,P,P
San2003,Encelia.farinosa,NA,0,1,NA,NA,Sandquist.Ehleringer.2003.AJB,P,P
Sch1992,Gutierrezia.microcephala,NA,0,1,NA,NA,Schuster.et.al.1992.AJB,P,P
Sek2006,Parnara.guttata.guttata,NA,0,1,NA,NA,Seko.2006.PopEco,I,A
Ser2000,Drosophila.melanogaster,NA,0,1,NA,NA,Service.2000.GenRes,I,A
Sgr2004,Drosophila.serrata,NA,0,1,NA,NA,Sgro.Blows.2004,I,A
She2003,Ficedula.albicollis,NA,0,1,NA,NA,Sheldon.et.al.2003.Evo,V,A
She2009,Avena.barbata,NA,0,1,NA,NA,Sherrard.et.al.2009,P,P
Sim2004,Teleogryllus.oceanicus,NA,0,1,NA,NA,Simmons.2004.AB,I,A
Smi2008,Ipomoea.purpurea,NA,0,1,NA,NA,Smith.Rausher.2008,P,P
Sta2004,Sinapsis.arvensis,NA,0,1,NA,NA,Stanton.et.al.2004.AmNat,P,P
Ste2007,Silene.latifolia,NA,0,1,NA,NA,Steven.et.al.2007.Evo,P,P
Str2004,Enallagma.cyathigerum,NA,0,1,NA,NA,Strobbe.Stoks.2004.BJLS,P,P
van2004,Mimulus.guttatus,NA,0,1,NA,NA,van.Kleuman.Ritland.2004,P,P
Ven1995,Heterosperma.pinnatum,NA,0,1,NA,NA,Venable.et.al.1995.AJB,P,P
Vor2005,Myzus.persicae,NA,0,1,NA,NA,Vorburger.2005.Evo,I,A
Wal2000,Scabiosa.columaria,NA,0,1,NA,NA,Waldmann.Andersson.2000,P,P
Wat2001,Hyla.regilla,NA,0,1,NA,NA,Watkins.2001.Evo,V,A
Whi2002,Drosophila.melanogaster,NA,0,1,NA,NA,Whitlock.et.al.2002,I,A
Wid2002,Brassica.cretiica,NA,0,1,NA,NA,Widen.et.al.2002,P,P
Wil2005,Ovis.canadiensis,NA,0,1,NA,NA,Wilson.et.al.2005.AmNat,V,A
Wor2000,Eichhornia.paniculata,NA,0,1,NA,NA,Worley.Barrett.2000.Evo,P,P
