Paper,Organism,Raw data avilable on DRYAD,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2,Title,Pmatrix,Means,Paper Link,full reference,Email,
Dor2008,Acrobeloides.nanus,0,0,1,NA,NA,Doroszuk.et.al.2008.AmNat,I,A,Rapid Divergence of Genetic Variance-Covariance Matrix within a Natural Population,0,0,10.1086/527478,"Doroszuk, A., Wojewodzic, M.W., Gort, G. & Kammenga, J.E. 2008, ""Rapid Divergence of Genetic Variance-Covariance Matrix within a Natural Population"", The American Naturalist, vol. 171, no. 3, pp. 291-304.",NA,
Ell1998,Solanum.carolinese,0,1,1,NA,NA,Elle.1998.Her,P,P,"The quantitative genetics of sex allocation in the andromonoecious perennial, Solanum carolinense (L.)",0,1,10.1038/sj.hdy.6883190,"Elle, E. 1998, ""The quantitative genetics of sex allocation in the andromonoecious perennial, Solanum carolinense (L.)"", Heredity, vol. 80, no. 4, pp. 481-488.",NA,
Esc2009,Physa.acuta,0,0,1,NA,NA,Escobar.et.al.2009,I,A,Correlated Evolution of Mating Strategy and Inbreeding Depression within and Among Populations of the Hermaphroditic Snail Physa Acuta,0,0,10.1111/j.1558-5646.2009.00760.x,"Escobar, J.S., Facon, B., Jarne, P., Goudet, J. & David, P. 2009, ""Correlated Evolution of Mating Strategy and Inbreeding Depression within and Among Populations of the Hermaphroditic Snail Physa Acuta"", Evolution, vol. 63, no. 11, pp. 2790-2804.",NA,
Fis2002,Mimulus.nasutus.x.Mimulus.guttatus,0,0,1,NA,NA,Fishman.et.al.2002.Evo,P,P,MINOR QUANTITATIVE TRAIT LOCI UNDERLIE FLORAL TRAITS ASSOCIATED WITH MATING SYSTEM DIVERGENCE IN MIMULUS,0.5,0,10.1554/0014-3820(2002)056[2138:MQTLUF]2.0.CO;2,"Fishman, L., Kelly, A.J. & Willis, J.H. 2002, ""MINOR QUANTITATIVE TRAIT LOCI UNDERLIE FLORAL TRAITS ASSOCIATED WITH MATING SYSTEM DIVERGENCE IN MIMULUS"", Evolution, vol. 56, no. 11, pp. 2138-2155.",NA,
For2009,Taeniopygia.guttata,0,1,1,NA,NA,Forstmeier.et.al.2009,V,A,The Genetic Basis of Zebra Finch Vocalizations,0,0,10.1111/j.1558-5646.2009.00688.x,"Forstmeier, W., Burger, C., Temnow, K. & DerÈgnaucourt, S. 2009, ""The Genetic Basis of Zebra Finch Vocalizations"", Evolution, vol. 63, no. 8, pp. 2114-2130.",NA,
Gar2008,Parsus.major,0,1,1,NA,NA,Garant.et.al.2008,V,A,Stability of genetic variance and covariance for reproductive characters in the face of climate change in a wild bird population,0.5,1,10.1111/j.1365-294X.2007.03436.x,"Garant, D., Hadfield, J.D., Kruuk, L.E.B. & Sheldon, B.C. 2008, ""Stability of genetic variance and covariance for reproductive characters in the face of climate change in a wild bird population"", Molecular ecology, vol. 17, no. 1, pp. 179-188.",NA,
Gem2001,Trichoplusia.ni,0,1,1,NA,NA,Gemeno.et.al.2001.BG,I,A,"Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni",1,1,10.1023/A:1010249310366,"Gemeno, C., Moore, A.J., Preziosi, R.F. & Haynes, K.F. 2001, ""Quantitative genetics of signal evolution: a comparison of the pheromonal signal in two populations of the cabbage looper, Trichoplusia ni"", Behavior genetics, vol. 31, no. 2, pp. 157-165.",NA,
Gom2009,Erysimum.mediohispanicum,0,1,1,NA,NA,Gomez.2009,P,P,Heritability and Genetic Correlation of Corolla Shape and Size in Erysimum mediohispanicum,0,1,10.1111/j.1558-5646.2009.00667.x,"GÛmez, J.M., Abdelaziz, M., MuÒoz-Pajares, J. & Perfectti, F. 2009, ""Heritability and Genetic Correlation of Corolla Shape and Size in Erysimum mediohispanicum"", Evolution, vol. 63, no. 7, pp. 1820-1831.",NA,
Goo1997,Tribolium.castaneum,0,0,1,NA,NA,Goodnight.Schwartz.1997,I,A,A Bootstrap Comparison of Genetic Covariance Matrices,0.5,0,10.1111/j.1558-5646.2009.00688.x,"Goodnight, C.J. & Schwartz, J.M. 1997, ""A Bootstrap Comparison of Genetic Covariance Matrices"", Biometrics, vol. 53, no. 3, pp. 1026-1039.",NA,
Goo2003,Campanula.rapunculoides,0,0,1,NA,NA,Good-Avila.Stephenson.2003.AmNat,P,P,Parental effects in a partially self-incompatible herb Campanula rapunculoides L. (Campanulaceae): influence of variation in the strength of self-incompatibility on seed set and progeny performance,1,1,10.1086/368290,"Good-Avila, S.V. & Stephenson, A.G. 2003, ""Parental effects in a partially self-incompatible herb Campanula rapunculoides L. (Campanulaceae): influence of variation in the strength of self-incompatibility on seed set and progeny performance"", The American Naturalist, vol. 161, no. 4, pp. 615-630.",NA,
Gri1997,Harmonia.axyridis,0,0,1,NA,NA,Grill.et.al.1997.Her,I,A,"The genetics of phenotypic plasticity in a colonizing population of the ladybird beetle, Harmonia axyridis",0.5,1,10.1038/sj.hdy.6881030,"GRILL, C.P., MOORE, A.J. & BRODIE III, E.D. 1997, ""The genetics of phenotypic plasticity in a colonizing population of the ladybird beetle, Harmonia axyridis"", Heredity, vol. 78, no. 3, pp. 261-269.",NA,
Gun1997,Callosobruchus.maculatus,0,1,1,NA,NA,Guntrip.et.al.1997.Her,I,A,"The effect of novel environment and sex on the additive genetic variation and covariation in and between emergence body weight and development period in the cowpea weevil, Callosobruchus maculatus (Coleoptera, Bruchidae)",0.5,1,10.1038/hdy.1997.23,"Guntrip, J., Sibly, R. & Holloway, G. 1997, ""The effect of novel environment and sex on the additive genetic variation and covariation in and between emergence body weight and development period in the cowpea weevil, Callosobruchus maculatus (Coleoptera, Bruchidae)"", Heredity, vol. 78, no. 2, pp. 158-165.",NA,
Har2001,Macadamia.integrifolia,0,0,1,NA,NA,Hardner.et.al.2001.Euphytica,P,P,Genetic parameters for nut and kernel traits in macadamia,1,0.5,10.1023/A:1004016503740,"Hardner, C., Winks, C., Stephenson, R. & Gallagher, E. 2001, ""Genetic parameters for nut and kernel traits in macadamia"", Euphytica, vol. 117, no. 2, pp. 151-161.",NA,
Hau2005,Arabidopsis.thaliana,0,0,1,NA,NA,Hausmann.et.al.2005.Evo,P,P,Quantitative trait loci affecting delta13C and response to differential water availability in arabidopsis thaliana,0.5,1,10.1554/04-104,"Hausmann, N.J., Juenger, T.E., Sen, S. & Stowe, K.A. 2005, ""Quantitative trait loci affecting delta13C and response to differential water availability in arabidopsis thaliana"", Evolution, vol. 59, no. 1, pp. 81.",NA,
Hin2004,Drosophila.serrata,0,0,1,NA,NA,Hine.et.al.2004,I,A,MULTIVARIATE QUANTITATIVE GENETICS AND THE LEK PARADOX: GENETIC VARIANCE IN MALE SEXUALLY SELECTED TRAITS OF DROSOPHILA SERRATA UNDER FIELD CONDITIONS,0,0,10.1554/04-558,"Hine, E., Chenoweth, S.F. & Blows, M.W. 2004, ""MULTIVARIATE QUANTITATIVE GENETICS AND THE LEK PARADOX: GENETIC VARIANCE IN MALE SEXUALLY SELECTED TRAITS OF DROSOPHILA SERRATA UNDER FIELD CONDITIONS"", Evolution, vol. 58, no. 12, pp. 2754-2762.",NA,
Hin2006,Drosophila.serrata,0,0,1,NA,NA,Hine.Blows.2006.Gen,I,A,Determining the Effective Dimensionality of the Genetic Variance-Covariance Matrix,0,0,10.1534/genetics.105.054627,"Hine, E. & Blows, M.W. 2006, ""Determining the Effective Dimensionality of the Genetic Variance-Covariance Matrix"", Genetics, vol. 173, no. 2, pp. 1135-1144.",NA,
